date,admin1,admin2,market,category,commodity,unit,pricetype,price_INR,price_USD
15/01/1994,Delhi,Delhi,Delhi,cereals and tubers,Rice,KG,Retail,8,0.2545
15/01/1994,Delhi,Delhi,Delhi,cereals and tubers,Wheat,KG,Retail,5,0.159
15/01/1994,Delhi,Delhi,Delhi,miscellaneous food,Sugar,KG,Retail,13.5,0.4294
15/01/1994,Delhi,Delhi,Delhi,oil and fats,Oil (mustard),KG,Retail,31,0.986
15/01/1994,Gujarat,Ahmadabad,Ahmedabad,cereals and tubers,Rice,KG,Retail,6.8,0.2163
15/01/1994,Gujarat,Ahmadabad,Ahmedabad,cereals and tubers,Wheat,KG,Retail,6.2,0.1972
15/01/1994,Gujarat,Ahmadabad,Ahmedabad,miscellaneous food,Sugar,KG,Retail,13.5,0.4294
15/01/1994,Gujarat,Ahmadabad,Ahmedabad,oil and fats,Oil (mustard),KG,Retail,30,0.9542
15/01/1994,Himachal Pradesh,Shimla,Shimla,cereals and tubers,Rice,KG,Retail,9,0.2863
15/01/1994,Himachal Pradesh,Shimla,Shimla,miscellaneous food,Sugar,KG,Retail,13.75,0.4373
15/01/1994,Himachal Pradesh,Shimla,Shimla,oil and fats,Oil (mustard),KG,Retail,36,1.145
15/01/1994,Karnataka,Bangalore Urban,Bengaluru,cereals and tubers,Wheat,KG,Retail,7,0.2226
15/01/1994,Karnataka,Bangalore Urban,Bengaluru,miscellaneous food,Sugar,KG,Retail,13.2,0.4198
15/01/1994,Karnataka,Bangalore Urban,Bengaluru,oil and fats,Oil (mustard),KG,Retail,41,1.3041
15/01/1994,Madhya Pradesh,Bhopal,Bhopal,cereals and tubers,Wheat,KG,Retail,4.5,0.1431
15/01/1994,Madhya Pradesh,Bhopal,Bhopal,miscellaneous food,Sugar,KG,Retail,13.25,0.4214
15/01/1994,Madhya Pradesh,Bhopal,Bhopal,oil and fats,Oil (mustard),KG,Retail,31,0.986
15/01/1994,Maharashtra,Mumbai city,Mumbai,cereals and tubers,Rice,KG,Retail,7.5,0.2385
15/01/1994,Maharashtra,Mumbai city,Mumbai,cereals and tubers,Wheat,KG,Retail,8,0.2545
15/01/1994,Maharashtra,Mumbai city,Mumbai,miscellaneous food,Sugar,KG,Retail,13.8,0.4389
15/01/1994,Maharashtra,Mumbai city,Mumbai,oil and fats,Oil (mustard),KG,Retail,36,1.145
15/01/1994,Orissa,Khordha,Bhubaneshwar,cereals and tubers,Wheat,KG,Retail,5,0.159
15/01/1994,Orissa,Khordha,Bhubaneshwar,miscellaneous food,Sugar,KG,Retail,13.5,0.4294
15/01/1994,Orissa,Khordha,Bhubaneshwar,oil and fats,Oil (mustard),KG,Retail,33,1.0496
15/01/1994,Telangana,Hyderabad,Hyderabad,cereals and tubers,Rice,KG,Retail,6.2,0.1972
15/01/1994,Telangana,Hyderabad,Hyderabad,cereals and tubers,Wheat,KG,Retail,7.5,0.2385
